Nation,Consumptions,Type,Year
Australia,21.21,Natural Gas,1998
New Zealand,33.38,Electricity,1998
New Zealand,5.33,Natural Gas,1998
Algeria,18.67,Electricity,1998
Algeria,18.35,Natural Gas,1998
Egypt,56.53,Electricity,1998
Egypt,13.74,Natural Gas,1998
Nigeria,8.52,Electricity,1998
Nigeria,6.27,Natural Gas,1998
South Africa,185.54,Electricity,1998
South Africa,1.42,Natural Gas,1998
Iran,83.84,Electricity,1998
Iran,50.82,Natural Gas,1998
Kuwait,22.46,Electricity,1998
Kuwait,9.49,Natural Gas,1998
Saudi Arabia,105.61,Electricity,1998
Saudi Arabia,34.19,Natural Gas,1998
United Arab Emirates,30.63,Electricity,1998
United Arab Emirates,29.92,Natural Gas,1998
Belgium,76.05,Electricity,1999
Belgium,15.6,Natural Gas,1999
Czech Rep.,51.18,Electricity,1999
Czech Rep.,9.52,Natural Gas,1999
France,401.04,Electricity,1999
France,38.66,Natural Gas,1999
Germany,490.65,Electricity,1999
Germany,89.02,Natural Gas,1999
Italy,267.28,Electricity,1999
Italy,67.85,Natural Gas,1999
Netherlands,96.2,Electricity,1999
Netherlands,49.07,Natural Gas,1999
Poland,107.03,Electricity,1999
Poland,12.24,Natural Gas,1999
Portugal,36.74,Electricity,1999
Portugal,2.25,Natural Gas,1999
Romania,39,Electricity,1999
Romania,17.13,Natural Gas,1999
Spain,181.65,Electricity,1999
Spain,15.35,Natural Gas,1999
Sweden,132.69,Electricity,1999
Sweden,0.88,Natural Gas,1999
United Kingdom,332.05,Electricity,1999
United Kingdom,99.19,Natural Gas,1999
Norway,110.22,Electricity,1999
Norway,5.49,Natural Gas,1999
Turkey,91.2,Electricity,1999
Turkey,12.54,Natural Gas,1999
Kazakhstan,38.16,Electricity,1999
Kazakhstan,8.62,Natural Gas,1999
Russia,669.17,Electricity,1999
Russia,385.76,Natural Gas,1999
Ukraine,125.92,Electricity,1999
Ukraine,76.94,Natural Gas,1999
Uzbekistan,39.8,Electricity,1999
Uzbekistan,52.01,Natural Gas,1999
Canada,487.11,Electricity,1999
Canada,86.93,Natural Gas,1999
United States,3459.62,Electricity,1999
United States,634.77,Natural Gas,1999
Argentina,70.88,Electricity,1999
Argentina,35.54,Natural Gas,1999
Brazil,313.06,Electricity,1999
Brazil,7.17,Natural Gas,1999
Chile,35.06,Electricity,1999
Chile,4.7,Natural Gas,1999
Colombia,32.05,Electricity,1999
Colombia,6.58,Natural Gas,1999
Mexico,137.22,Electricity,1999
Mexico,37.48,Natural Gas,1999
Venezuela,60.35,Electricity,1999
Venezuela,22.13,Natural Gas,1999
China,1043.57,Electricity,1999
China,21.49,Natural Gas,1999
India,368.76,Electricity,1999
India,27.77,Natural Gas,1999
Indonesia,71.34,Electricity,1999
Indonesia,35.19,Natural Gas,1999
Japan,959.8,Electricity,1999
Japan,81.57,Natural Gas,1999
Malaysia,56,Electricity,1999
Malaysia,22.96,Natural Gas,1999
South Korea,214.22,Electricity,1999
South Korea,16.96,Natural Gas,1999
Taiwan,149.19,Electricity,1999
Taiwan,5.73,Natural Gas,1999
Thailand,81.45,Electricity,1999
Thailand,19.52,Natural Gas,1999
Australia,175.46,Electricity,1999
Australia,21.52,Natural Gas,1999
New Zealand,34.02,Electricity,1999
New Zealand,5.96,Natural Gas,1999
Algeria,19.99,Electricity,1999
Algeria,19.54,Natural Gas,1999
Egypt,60.81,Electricity,1999
Egypt,17.41,Natural Gas,1999
Nigeria,8.58,Electricity,1999
Nigeria,6.64,Natural Gas,1999
South Africa,182.94,Electricity,1999
South Africa,1.86,Natural Gas,1999
Iran,90.11,Electricity,1999
Iran,59.07,Natural Gas,1999
Kuwait,23.49,Electricity,1999
Kuwait,8.69,Natural Gas,1999
Saudi Arabia,110.61,Electricity,1999
Saudi Arabia,34.12,Natural Gas,1999
United Arab Emirates,35.77,Electricity,1999
United Arab Emirates,30.92,Natural Gas,1999
Belgium,79.17,Electricity,2000
Belgium,15.68,Natural Gas,2000
Czech Rep.,52.29,Electricity,2000
Czech Rep.,9.24,Natural Gas,2000
France,410.39,Electricity,2000
France,41.33,Natural Gas,2000
Germany,501.41,Electricity,2000
Germany,87.56,Natural Gas,2000
Italy,279.32,Electricity,2000
Italy,70.75,Natural Gas,2000
Netherlands,99.02,Electricity,2000
Netherlands,49.2,Natural Gas,2000
Poland,108.82,Electricity,2000
Poland,13.14,Natural Gas,2000
Portugal,38.94,Electricity,2000
Portugal,2.28,Natural Gas,2000
Romania,41.3,Electricity,2000
Romania,17.12,Natural Gas,2000
Spain,194.71,Electricity,2000
Spain,17.58,Natural Gas,2000
Sweden,135.41,Electricity,2000
Sweden,0.81,Natural Gas,2000
United Kingdom,340.3,Electricity,2000
United Kingdom,103.05,Natural Gas,2000
Norway,110.92,Electricity,2000
Norway,4.11,Natural Gas,2000
Turkey,98.3,Electricity,2000
Turkey,14.84,Natural Gas,2000
Kazakhstan,38.54,Electricity,2000
Kazakhstan,7.84,Natural Gas,2000
Russia,692.87,Electricity,2000
Russia,391.17,Natural Gas,2000
Ukraine,124.1,Electricity,2000
Ukraine,74.24,Natural Gas,2000
Uzbekistan,41.15,Electricity,2000
Uzbekistan,51.16,Natural Gas,2000
Canada,503.4,Electricity,2000
Canada,91.54,Natural Gas,2000
United States,3589.78,Electricity,2000
United States,661.24,Natural Gas,2000
Argentina,75.47,Electricity,2000
Argentina,37.3,Natural Gas,2000
Brazil,328.9,Electricity,2000
Brazil,9.32,Natural Gas,2000
Chile,37.14,Electricity,2000
Chile,6.2,Natural Gas,2000
Colombia,33.34,Electricity,2000
Colombia,7.34,Natural Gas,2000
Mexico,148.34,Electricity,2000
Mexico,39.55,Natural Gas,2000
Venezuela,63.21,Electricity,2000
Venezuela,23.08,Natural Gas,2000
China,1138.46,Electricity,2000
China,24.63,Natural Gas,2000
India,376.22,Electricity,2000
India,27.86,Natural Gas,2000
Indonesia,79.16,Electricity,2000
Indonesia,31.46,Natural Gas,2000
Japan,982.17,Electricity,2000
Japan,84.44,Natural Gas,2000
Malaysia,61.21,Electricity,2000
Malaysia,27.27,Natural Gas,2000
South Korea,263.12,Electricity,2000
South Korea,19.01,Natural Gas,2000
Taiwan,163.76,Electricity,2000
Taiwan,6.26,Natural Gas,2000
Thailand,87.93,Electricity,2000
Thailand,22.85,Natural Gas,2000
Australia,179.85,Electricity,2000
Australia,22.59,Natural Gas,2000
New Zealand,34.78,Electricity,2000
New Zealand,6.33,Natural Gas,2000
Algeria,21.21,Electricity,2000
Algeria,19.59,Natural Gas,2000
Egypt,64.33,Electricity,2000
Egypt,17.67,Natural Gas,2000
Nigeria,8.69,Electricity,2000
Nigeria,7.65,Natural Gas,2000
South Africa,190.23,Electricity,2000
South Africa,1.71,Natural Gas,2000
Iran,96.04,Electricity,2000
Iran,62.24,Natural Gas,2000
Kuwait,23.91,Electricity,2000
Kuwait,9.6,Natural Gas,2000
Saudi Arabia,114.16,Electricity,2000
Saudi Arabia,37.68,Natural Gas,2000
United Arab Emirates,37.87,Electricity,2000
United Arab Emirates,29.88,Natural Gas,2000
Belgium,79.82,Electricity,2001
Belgium,15.48,Natural Gas,2001
Czech Rep.,53.78,Electricity,2001
Czech Rep.,9.89,Natural Gas,2001
France,421.43,Electricity,2001
France,46.08,Natural Gas,2001
Germany,512.64,Electricity,2001
Germany,91.55,Natural Gas,2001
Italy,285.49,Electricity,2001
Italy,70.94,Natural Gas,2001
Netherlands,101.06,Electricity,2001
Netherlands,50.2,Natural Gas,2001
Poland,109.14,Electricity,2001
Poland,13.42,Natural Gas,2001
Portugal,40.54,Electricity,2001
Portugal,2.54,Natural Gas,2001
Romania,42.3,Electricity,2001
Romania,16.56,Natural Gas,2001
Spain,207.3,Electricity,2001
Spain,18.94,Natural Gas,2001
Sweden,138.51,Electricity,2001
Sweden,0.88,Natural Gas,2001
United Kingdom,342.51,Electricity,2001
United Kingdom,101.31,Natural Gas,2001
Norway,113.79,Electricity,2001
Norway,4.57,Natural Gas,2001
Turkey,97.07,Electricity,2001
Turkey,15.94,Natural Gas,2001
Kazakhstan,42.63,Electricity,2001
Kazakhstan,6.01,Natural Gas,2001
Russia,700.09,Electricity,2001
Russia,395.88,Natural Gas,2001
Ukraine,122.17,Electricity,2001
Ukraine,74.26,Natural Gas,2001
Uzbekistan,41.41,Electricity,2001
Uzbekistan,51.96,Natural Gas,2001
Canada,502.68,Electricity,2001
Canada,87.17,Natural Gas,2001
United States,3554.4,Electricity,2001
United States,630.18,Natural Gas,2001
Argentina,76.2,Electricity,2001
Argentina,34.91,Natural Gas,2001
Brazil,306.76,Electricity,2001
Brazil,11.85,Natural Gas,2001
Chile,39.93,Electricity,2001
Chile,7.03,Natural Gas,2001
Colombia,35.19,Electricity,2001
Colombia,7.77,Natural Gas,2001
Mexico,151.3,Electricity,2001
Mexico,39.74,Natural Gas,2001
Venezuela,65.71,Electricity,2001
Venezuela,21.61,Natural Gas,2001
China,1240.95,Electricity,2001
China,28.35,Natural Gas,2001
India,381.9,Electricity,2001
India,28.04,Natural Gas,2001
Indonesia,84.52,Electricity,2001
Indonesia,33.29,Natural Gas,2001
Japan,966.73,Electricity,2001
Japan,84.04,Natural Gas,2001
Malaysia,65.06,Electricity,2001
Malaysia,28.77,Natural Gas,2001
South Korea,281.57,Electricity,2001
South Korea,20.88,Natural Gas,2001
Taiwan,166.53,Electricity,2001
Taiwan,6.92,Natural Gas,2001
Thailand,92.29,Electricity,2001
Thailand,26.67,Natural Gas,2001
Australia,188.04,Electricity,2001
Australia,23.84,Natural Gas,2001
New Zealand,35.33,Electricity,2001
New Zealand,6.38,Natural Gas,2001
Algeria,22.3,Electricity,2001
Algeria,20.14,Natural Gas,2001
Egypt,69.17,Electricity,2001
Egypt,23.22,Natural Gas,2001
Nigeria,9.03,Electricity,2001
Nigeria,7.2,Natural Gas,2001
South Africa,181.29,Electricity,2001
South Africa,2.22,Natural Gas,2001
Iran,102.91,Electricity,2001
Iran,66.14,Natural Gas,2001
Kuwait,25.5,Electricity,2001
Kuwait,9.5,Natural Gas,2001
Saudi Arabia,122.94,Electricity,2001
Saudi Arabia,39.11,Natural Gas,2001
United Arab Emirates,38.41,Electricity,2001
United Arab Emirates,35.66,Natural Gas,2001
Belgium,80.44,Electricity,2002
Belgium,15.96,Natural Gas,2002
Czech Rep.,53.67,Electricity,2002
Czech Rep.,9.55,Natural Gas,2002
France,419.45,Electricity,2002
France,45.14,Natural Gas,2002
Germany,525.51,Electricity,2002
Germany,90.96,Natural Gas,2002
Italy,290.96,Electricity,2002
Italy,70.46,Natural Gas,2002
Netherlands,102.43,Electricity,2002
Netherlands,49.69,Natural Gas,2002
Poland,107.66,Electricity,2002
Poland,13.21,Natural Gas,2002
Portugal,42.12,Electricity,2002
Portugal,3.11,Natural Gas,2002
Romania,41.52,Electricity,2002
Romania,17.08,Natural Gas,2002
Spain,211.87,Electricity,2002
Spain,21.66,Natural Gas,2002
Sweden,136.66,Electricity,2002
Sweden,0.89,Natural Gas,2002
United Kingdom,344.11,Electricity,2002
United Kingdom,100.05,Natural Gas,2002
Norway,110.46,Electricity,2002
Norway,4.52,Natural Gas,2002
Turkey,102.95,Electricity,2002
Turkey,17.59,Natural Gas,2002
Kazakhstan,43.22,Electricity,2002
Kazakhstan,8.33,Natural Gas,2002
Russia,699.31,Electricity,2002
Russia,396.27,Natural Gas,2002
Ukraine,123.38,Electricity,2002
Ukraine,73.32,Natural Gas,2002
Uzbekistan,42.07,Electricity,2002
Uzbekistan,54.75,Natural Gas,2002
Canada,512.38,Electricity,2002
Canada,91.27,Natural Gas,2002
United States,3631.9,Electricity,2002
United States,651.37,Natural Gas,2002
Argentina,73.84,Electricity,2002
Argentina,34.34,Natural Gas,2002
Brazil,321.12,Electricity,2002
Brazil,14.61,Natural Gas,2002
Chile,41.36,Electricity,2002
Chile,7.03,Natural Gas,2002
Colombia,35.4,Electricity,2002
Colombia,7.74,Natural Gas,2002
Mexico,154.98,Electricity,2002
Mexico,44.92,Natural Gas,2002
Venezuela,67.06,Electricity,2002
Venezuela,22.06,Natural Gas,2002
China,1380.01,Electricity,2002
China,29.29,Natural Gas,2002
India,405.6,Electricity,2002
India,30.4,Natural Gas,2002
Indonesia,87.09,Electricity,2002
Indonesia,35.18,Natural Gas,2002
Japan,984.98,Electricity,2002
Japan,86.64,Natural Gas,2002
Malaysia,68.88,Electricity,2002
Malaysia,28.7,Natural Gas,2002
South Korea,300.79,Electricity,2002
South Korea,23.32,Natural Gas,2002
Taiwan,175.91,Electricity,2002
Taiwan,7.9,Natural Gas,2002
Thailand,100.17,Electricity,2002
Thailand,28.7,Natural Gas,2002
Australia,197.74,Electricity,2002
Australia,26.18,Natural Gas,2002
New Zealand,36.19,Electricity,2002
New Zealand,6.05,Natural Gas,2002
Algeria,23.28,Electricity,2002
Algeria,20.88,Natural Gas,2002
Egypt,74.12,Electricity,2002
Egypt,26.04,Natural Gas,2002
Nigeria,12.84,Electricity,2002
Nigeria,7.64,Natural Gas,2002
South Africa,193.53,Electricity,2002
South Africa,2.2,Natural Gas,2002
Iran,110.83,Electricity,2002
Iran,74.48,Natural Gas,2002
Kuwait,27.05,Electricity,2002
Kuwait,8.71,Natural Gas,2002
Saudi Arabia,128.63,Electricity,2002
Saudi Arabia,45.69,Natural Gas,2002
United Arab Emirates,40.36,Electricity,2002
United Arab Emirates,35.59,Natural Gas,2002
Belgium,82.07,Electricity,2003
Belgium,17,Natural Gas,2003
Czech Rep.,54.81,Electricity,2003
Czech Rep.,9.66,Natural Gas,2003
France,437,Electricity,2003
France,46.89,Natural Gas,2003
Germany,531.46,Electricity,2003
Germany,89.31,Natural Gas,2003
Italy,299.79,Electricity,2003
Italy,77.68,Natural Gas,2003
Netherlands,104.06,Electricity,2003
Netherlands,50.03,Natural Gas,2003
Poland,111.46,Electricity,2003
Poland,14.59,Natural Gas,2003
Portugal,43.8,Electricity,2003
Portugal,3.02,Natural Gas,2003
Romania,44.46,Electricity,2003
Romania,18.43,Natural Gas,2003
Spain,224.27,Electricity,2003
Spain,24.55,Natural Gas,2003
Sweden,134.62,Electricity,2003
Sweden,0.93,Natural Gas,2003
United Kingdom,346.62,Electricity,2003
United Kingdom,100.52,Natural Gas,2003
Norway,104.56,Electricity,2003
Norway,5,Natural Gas,2003
Turkey,111.77,Electricity,2003
Turkey,21.18,Natural Gas,2003
Kazakhstan,45.93,Electricity,2003
Kazakhstan,10.17,Natural Gas,2003
Russia,721.22,Electricity,2003
Russia,416.89,Natural Gas,2003
Ukraine,129.12,Electricity,2003
Ukraine,77.62,Natural Gas,2003
Uzbekistan,42.29,Electricity,2003
Uzbekistan,52.04,Natural Gas,2003
Canada,524.57,Electricity,2003
Canada,95.37,Natural Gas,2003
United States,3662.33,Electricity,2003
United States,630.88,Natural Gas,2003
Argentina,80.52,Electricity,2003
Argentina,37.87,Natural Gas,2003
Brazil,339.1,Electricity,2003
Brazil,15.04,Natural Gas,2003
Chile,44.88,Electricity,2003
Chile,7.67,Natural Gas,2003
Colombia,36.77,Electricity,2003
Colombia,7.45,Natural Gas,2003
Mexico,177.5,Electricity,2003
Mexico,50.05,Natural Gas,2003
Venezuela,66.28,Electricity,2003
Venezuela,23.46,Natural Gas,2003
China,1604.72,Electricity,2003
China,34.96,Natural Gas,2003
India,433.48,Electricity,2003
India,31.23,Natural Gas,2003
Indonesia,90.44,Electricity,2003
Indonesia,36,Natural Gas,2003
Japan,974.82,Electricity,2003
Japan,89.52,Natural Gas,2003
Malaysia,73.42,Electricity,2003
Malaysia,30.27,Natural Gas,2003
South Korea,318.06,Electricity,2003
South Korea,24.3,Natural Gas,2003
Taiwan,185.26,Electricity,2003
Taiwan,7.96,Natural Gas,2003
Thailand,106.96,Electricity,2003
Thailand,30.54,Natural Gas,2003
Australia,193.79,Electricity,2003
Australia,26.37,Natural Gas,2003
New Zealand,36.37,Electricity,2003
New Zealand,4.61,Natural Gas,2003
Algeria,25.37,Electricity,2003
Algeria,22.97,Natural Gas,2003
Egypt,79.64,Electricity,2003
Egypt,28.57,Natural Gas,2003
Nigeria,12.87,Electricity,2003
Nigeria,10.69,Natural Gas,2003
South Africa,195.66,Electricity,2003
South Africa,1.32,Natural Gas,2003
Iran,121.65,Electricity,2003
Iran,82.1,Natural Gas,2003
Kuwait,29.93,Electricity,2003
Kuwait,10,Natural Gas,2003
Saudi Arabia,142.2,Electricity,2003
Saudi Arabia,47.13,Natural Gas,2003
United Arab Emirates,42.58,Electricity,2003
United Arab Emirates,36.65,Natural Gas,2003
Belgium,83.76,Electricity,2004
Belgium,17.32,Natural Gas,2004
Czech Rep.,56.39,Electricity,2004
Czech Rep.,9.6,Natural Gas,2004
France,448.72,Electricity,2004
France,47.5,Natural Gas,2004
Germany,538.05,Electricity,2004
Germany,89.67,Natural Gas,2004
Italy,304.49,Electricity,2004
Italy,80.61,Natural Gas,2004
Netherlands,106.55,Electricity,2004
Netherlands,51.22,Natural Gas,2004
Poland,114.8,Electricity,2004
Poland,15.39,Natural Gas,2004
Portugal,45.5,Electricity,2004
Portugal,3.76,Natural Gas,2004
Romania,45.44,Electricity,2004
Romania,17.33,Natural Gas,2004
Spain,237.04,Electricity,2004
Spain,28.5,Natural Gas,2004
Sweden,135.41,Electricity,2004
Sweden,0.89,Natural Gas,2004
United Kingdom,347.72,Electricity,2004
United Kingdom,102.75,Natural Gas,2004
Norway,109.69,Electricity,2004
Norway,5.34,Natural Gas,2004
Turkey,121.14,Electricity,2004
Turkey,22.44,Natural Gas,2004
Kazakhstan,47.36,Electricity,2004
Kazakhstan,11.6,Natural Gas,2004
Russia,739.05,Electricity,2004
Russia,421.83,Natural Gas,2004
Ukraine,135.1,Electricity,2004
Ukraine,78.57,Natural Gas,2004
Uzbekistan,42.81,Electricity,2004
Uzbekistan,50.52,Natural Gas,2004
Canada,531.76,Electricity,2004
Canada,92.75,Natural Gas,2004
United States,3716.32,Electricity,2004
United States,633.54,Natural Gas,2004
Argentina,85.25,Electricity,2004
Argentina,41.08,Natural Gas,2004
Brazil,356.27,Electricity,2004
Brazil,18.56,Natural Gas,2004
Chile,47.54,Electricity,2004
Chile,8.35,Natural Gas,2004
Colombia,38.57,Electricity,2004
Colombia,7.84,Natural Gas,2004
Mexico,186.8,Electricity,2004
Mexico,53.88,Natural Gas,2004
Venezuela,71.57,Electricity,2004
Venezuela,23.09,Natural Gas,2004
China,1859.27,Electricity,2004
China,41.36,Natural Gas,2004
India,463.15,Electricity,2004
India,34.02,Natural Gas,2004
Indonesia,100.1,Electricity,2004
Indonesia,34.44,Natural Gas,2004
Japan,1008.93,Electricity,2004
Japan,89.38,Natural Gas,2004
Malaysia,77.25,Electricity,2004
Malaysia,32.41,Natural Gas,2004
South Korea,337.94,Electricity,2004
South Korea,28.65,Natural Gas,2004
Taiwan,195.13,Electricity,2004
Taiwan,9.43,Natural Gas,2004
Thailand,115.04,Electricity,2004
Thailand,32.09,Natural Gas,2004
Australia,198.27,Electricity,2004
Australia,27.33,Natural Gas,2004
New Zealand,37.97,Electricity,2004
New Zealand,4.29,Natural Gas,2004
Algeria,26.29,Electricity,2004
Algeria,22.56,Natural Gas,2004
Egypt,85.09,Electricity,2004
Egypt,27.96,Natural Gas,2004
Nigeria,16.04,Electricity,2004
Nigeria,11.03,Natural Gas,2004
South Africa,198.82,Electricity,2004
South Africa,3.4,Natural Gas,2004
Iran,131.19,Electricity,2004
Iran,92.59,Natural Gas,2004
Kuwait,31.09,Electricity,2004
Kuwait,10.9,Natural Gas,2004
Saudi Arabia,144.39,Electricity,2004
Saudi Arabia,51.21,Natural Gas,2004
United Arab Emirates,44.9,Electricity,2004
United Arab Emirates,39.61,Natural Gas,2004
Belgium,83.64,Electricity,2005
Belgium,17.03,Natural Gas,2005
Czech Rep.,57.66,Electricity,2005
Czech Rep.,9.49,Natural Gas,2005
France,451.11,Electricity,2005
France,47.14,Natural Gas,2005
Germany,539.33,Electricity,2005
Germany,90.62,Natural Gas,2005
Italy,309.85,Electricity,2005
Italy,86.26,Natural Gas,2005
Netherlands,108.74,Electricity,2005
Netherlands,49.76,Natural Gas,2005
Poland,115.66,Electricity,2005
Poland,16.04,Natural Gas,2005
Portugal,47.03,Electricity,2005
Portugal,4.26,Natural Gas,2005
Romania,46.52,Electricity,2005
Romania,17.35,Natural Gas,2005
Spain,248.47,Electricity,2005
Spain,33.63,Natural Gas,2005
Sweden,135.42,Electricity,2005
Sweden,0.84,Natural Gas,2005
United Kingdom,357.2,Electricity,2005
United Kingdom,99.92,Natural Gas,2005
Norway,114.24,Electricity,2005
Norway,4.88,Natural Gas,2005
Turkey,130.26,Electricity,2005
Turkey,27.37,Natural Gas,2005
Kazakhstan,49.04,Electricity,2005
Kazakhstan,14.85,Natural Gas,2005
Russia,759.86,Electricity,2005
Russia,425.49,Natural Gas,2005
Ukraine,137.9,Electricity,2005
Ukraine,77.61,Natural Gas,2005
Uzbekistan,42.13,Electricity,2005
Uzbekistan,49,Natural Gas,2005
Canada,533.05,Electricity,2005
Canada,98.78,Natural Gas,2005
United States,3811.49,Electricity,2005
United States,623.33,Natural Gas,2005
Argentina,90.28,Electricity,2005
Argentina,41.4,Natural Gas,2005
Brazil,371.31,Electricity,2005
Brazil,19.74,Natural Gas,2005
Chile,48.91,Electricity,2005
Chile,8.09,Natural Gas,2005
Colombia,38.93,Electricity,2005
Colombia,8.23,Natural Gas,2005
Mexico,194.56,Electricity,2005
Mexico,53.18,Natural Gas,2005
Venezuela,73.08,Electricity,2005
Venezuela,23.92,Natural Gas,2005
China,2126.43,Electricity,2005
China,46.57,Natural Gas,2005
India,489.43,Electricity,2005
India,37.89,Natural Gas,2005
Indonesia,107.71,Electricity,2005
Indonesia,33.48,Natural Gas,2005
Japan,1015.9,Electricity,2005
Japan,88.95,Natural Gas,2005
Malaysia,80.76,Electricity,2005
Malaysia,37.75,Natural Gas,2005
South Korea,357.63,Electricity,2005
South Korea,30.48,Natural Gas,2005
Taiwan,203.19,Electricity,2005
Taiwan,9.97,Natural Gas,2005
Thailand,121.23,Electricity,2005
Thailand,33.16,Natural Gas,2005
Australia,198.66,Electricity,2005
Australia,27.23,Natural Gas,2005
New Zealand,38.48,Electricity,2005
New Zealand,4.13,Natural Gas,2005
Algeria,29.52,Electricity,2005
Algeria,24.15,Natural Gas,2005
Egypt,92.09,Electricity,2005
Egypt,36.71,Natural Gas,2005
Nigeria,17.29,Electricity,2005
Nigeria,11.04,Natural Gas,2005
South Africa,204.04,Electricity,2005
South Africa,3.38,Natural Gas,2005
Iran,137.25,Electricity,2005
Iran,99.1,Natural Gas,2005
Kuwait,32.94,Electricity,2005
Kuwait,12.3,Natural Gas,2005
Saudi Arabia,153.28,Electricity,2005
Saudi Arabia,56.28,Natural Gas,2005
United Arab Emirates,52.53,Electricity,2005
United Arab Emirates,42.05,Natural Gas,2005
Belgium,86.06,Electricity,2006
Belgium,17.53,Natural Gas,2006
Czech Rep.,59.42,Electricity,2006
Czech Rep.,9.28,Natural Gas,2006
France,446.47,Electricity,2006
France,44.21,Natural Gas,2006
Germany,544.46,Electricity,2006
Germany,92.62,Natural Gas,2006
Italy,317.57,Electricity,2006
Italy,84.48,Natural Gas,2006
Netherlands,109.83,Electricity,2006
Netherlands,47.8,Natural Gas,2006
Poland,121.28,Electricity,2006
Poland,16.01,Natural Gas,2006
Portugal,48.55,Electricity,2006
Portugal,4.14,Natural Gas,2006
Romania,47.5,Electricity,2006
Romania,17.96,Natural Gas,2006
Spain,254.04,Electricity,2006
Spain,36.09,Natural Gas,2006
Sweden,135.36,Electricity,2006
Sweden,0.86,Natural Gas,2006
United Kingdom,353.86,Electricity,2006
United Kingdom,94.64,Natural Gas,2006
Norway,111.22,Electricity,2006
Norway,5.37,Natural Gas,2006
Turkey,143.07,Electricity,2006
Turkey,31.18,Natural Gas,2006
Kazakhstan,52.78,Electricity,2006
Kazakhstan,17.86,Natural Gas,2006
Russia,797.81,Electricity,2006
Russia,436.49,Natural Gas,2006
Ukraine,143.6,Electricity,2006
Ukraine,69.48,Natural Gas,2006
Uzbekistan,43.61,Electricity,2006
Uzbekistan,50.09,Natural Gas,2006
Canada,524.34,Electricity,2006
Canada,98.01,Natural Gas,2006
United States,3817.56,Electricity,2006
United States,614.13,Natural Gas,2006
Argentina,95.6,Electricity,2006
Argentina,43.23,Natural Gas,2006
Brazil,386.09,Electricity,2006
Brazil,20.36,Natural Gas,2006
Chile,51.37,Electricity,2006
Chile,7.46,Natural Gas,2006
Colombia,40.63,Electricity,2006
Colombia,8.25,Natural Gas,2006
Mexico,199.08,Electricity,2006
Mexico,58.07,Natural Gas,2006
Venezuela,77.52,Electricity,2006
Venezuela,23.24,Natural Gas,2006
China,2446.35,Electricity,2006
China,57.3,Natural Gas,2006
India,543.25,Electricity,2006
India,39.69,Natural Gas,2006
Indonesia,113.42,Electricity,2006
Indonesia,35.56,Natural Gas,2006
Japan,1035.78,Electricity,2006
Japan,97.93,Natural Gas,2006
Malaysia,84.57,Electricity,2006
Malaysia,40.08,Natural Gas,2006
South Korea,371.35,Electricity,2006
South Korea,32.58,Natural Gas,2006
Taiwan,209.98,Electricity,2006
Taiwan,10.19,Natural Gas,2006
Thailand,127.81,Electricity,2006
Thailand,34.13,Natural Gas,2006
Australia,202.52,Electricity,2006
Australia,28.92,Natural Gas,2006
New Zealand,39.4,Electricity,2006
New Zealand,3.9,Natural Gas,2006
Algeria,29.47,Electricity,2006
Algeria,25.33,Natural Gas,2006
Egypt,98.09,Electricity,2006
Egypt,39.5,Natural Gas,2006
Nigeria,15.27,Electricity,2006
Nigeria,11.56,Natural Gas,2006
South Africa,210.47,Electricity,2006
South Africa,3.28,Natural Gas,2006
Iran,148.69,Electricity,2006
Iran,109.15,Natural Gas,2006
Kuwait,36.14,Electricity,2006
Kuwait,12.41,Natural Gas,2006
Saudi Arabia,163.15,Electricity,2006
Saudi Arabia,59.08,Natural Gas,2006
United Arab Emirates,57.6,Electricity,2006
United Arab Emirates,43.11,Natural Gas,2006
Belgium,86.08,Electricity,2007
Belgium,17.66,Natural Gas,2007
Czech Rep.,59.75,Electricity,2007
Czech Rep.,8.77,Natural Gas,2007
France,448.41,Electricity,2007
France,43.63,Natural Gas,2007
Germany,545.44,Electricity,2007
Germany,89.13,Natural Gas,2007
Italy,318.95,Electricity,2007
Italy,84.9,Natural Gas,2007
Netherlands,112.18,Electricity,2007
Netherlands,46.48,Natural Gas,2007
Poland,124.74,Electricity,2007
Poland,16.08,Natural Gas,2007
Portugal,49.68,Electricity,2007
Portugal,4.34,Natural Gas,2007
Romania,47.32,Electricity,2007
Romania,15.92,Natural Gas,2007
Spain,257.64,Electricity,2007
Spain,36.78,Natural Gas,2007
Sweden,135.64,Electricity,2007
Sweden,0.93,Natural Gas,2007
United Kingdom,351.45,Electricity,2007
United Kingdom,96.02,Natural Gas,2007
Norway,114.95,Electricity,2007
Norway,5.43,Natural Gas,2007
Turkey,155.14,Electricity,2007
Turkey,36.6,Natural Gas,2007
Kazakhstan,56.31,Electricity,2007
Kazakhstan,20.16,Natural Gas,2007
Russia,820.7,Electricity,2007
Russia,445.44,Natural Gas,2007
Ukraine,148.72,Electricity,2007
Ukraine,68.66,Natural Gas,2007
Uzbekistan,41.92,Electricity,2007
Uzbekistan,50.73,Natural Gas,2007
Canada,544.21,Electricity,2007
Canada,98.51,Natural Gas,2007
United States,3921.94,Electricity,2007
United States,654.18,Natural Gas,2007
Argentina,97.62,Electricity,2007
Argentina,46.24,Natural Gas,2007
Brazil,406.42,Electricity,2007
Brazil,20.96,Natural Gas,2007
Chile,53.64,Electricity,2007
Chile,4.44,Natural Gas,2007
Colombia,42.24,Electricity,2007
Colombia,8.16,Natural Gas,2007
